lottery,position,year,asOf,profit,baseProfit,roi,days,dominant,dominance,switches,maxDD,unobservedDays
"หวยลาวพิเศษ","สองล่าง","2025","2025-12-31","229","329","7.221696625670136","61","Mid+Bottom","50","1","-277","5"
"หวยลาวพิเศษ","สองล่าง","2026","2026-09-12","463","2463","3.4977713983531014","255","Mid","37.5","4","-877","0"
"หวยลาวพิเศษรอบเที่ยง","สองบน","2025","2025-12-31","-1229","-429","-9.151835579715542","262","Bottom","55.55555555555556","4","-1699","13"
"หวยลาวพิเศษรอบเที่ยง","สองบน","2026","2026-09-12","874","1074","6.60819597761984","253","Top","62.5","4","-704","2"
"หวยลาวพิเศษรอบเที่ยง","สองล่าง","2025","2025-12-31","67","867","0.4610197481593615","262","Mid","44.44444444444444","4","-1263","13"
"หวยลาวพิเศษรอบเที่ยง","สองล่าง","2026","2026-09-12","-610","-10","-4.876099120703437","253","Top+Bottom","62.5","4","-795","2"
"หวยลาวมงคล","สองบน","2025","2025-12-31","-434","-434","-6.350599941469125","122","Mid+Bottom","50","2","-839","0"
"หวยลาวมงคล","สองบน","2026","2026-09-12","-460","-660","-3.18118948824343","255","Mid+Bottom","37.5","6","-1087","0"
"หวยลาวมงคล","สองล่าง","2025","2025-12-31","-599","1","-8.320600083344909","122","Top","50","2","-821","0"
"หวยลาวมงคล","สองล่าง","2026","2026-09-12","-313","287","-2.113008843583339","255","Top","50","2","-724","0"
"หวยลาวมั่งคั่ง","สองบน","2025","2025-12-31","144","-156","2.2304832713754648","122","Top","50","1","-468","2"
"หวยลาวมั่งคั่ง","สองบน","2026","2026-09-12","-62","338","-0.46055563809240824","255","Top+Mid","50","1","-956","0"
"หวยลาวมั่งคั่ง","สองล่าง","2025","2025-12-31","-105","-5","-1.477832512315271","122","Mid","75","1","-608","2"
"หวยลาวมั่งคั่ง","สองล่าง","2026","2026-09-12","-979","1021","-7.263150085317902","255","Top","50","2","-1190","0"
"หวยลาวมั่นคง","สองบน","2025","2025-12-31","310","10","4.434907010014307","122","Mid","75","1","-600","0"
